2020-07,118831126239248397,Denial#4301,7-7-7-0,21,8,Beginner,B,False
2020-07,185229437787176962,flame#6784,7-7-7-0,21,8,Beginner,B,False
2020-07,187332490958995457,Sigma#3822,7-5-0-0,12,23,Beginner,H,False
2020-07,226715564050087936,Kesä-Pappa#6890,7-7-7-0,21,8,Beginner,B,True
2020-07,239451568196419584,dTea#3689,2-0-6-0,8,27,Beginner,,True
2020-07,255154801862508545,Makorn#1037,7-7-7-0,21,8,Beginner,B,False
2020-07,292911857704894464,Enda#2138,7-7-7-0,21,8,Beginner,B,True
2020-07,305859725554089985,Jatmoz#9730,7-0-0-5,12,23,Beginner,H,False
2020-07,332106996583235584,Arkali#6504,7-7-7-2,23,5,Beginner,S,False
2020-07,355985137927979008,YeahDogg#9666,7-6-7-2,22,7,Beginner,S,False
2020-07,358334606975434752,wertguk#3517,7-0-7-2,16,19,Beginner,H,False
2020-07,365560579546415105,2isn'tawholenumber#9301,7-6-7-0,20,17,Beginner,H,False
2020-07,467112200599764993,Rektyu#4514,7-7-7-0,21,8,Beginner,B,False
2020-07,530153879007133710,franchester#8012,7-7-7-0,21,8,Beginner,B,False
2020-07,537945145702744074,Cyclic Circle#0894,7-7-7-0,21,8,Beginner,B,True
2020-07,544582760841347097,Marin_The Legend 23(BUL)#3986,7-4-7-7,25,4,Beginner,S,False
2020-07,571055933774495765,théorie des ressorts#0486,7-7-6-7,27,3,Beginner,G,False
2020-07,571722042538197023,GeoMetrix#1894,7-7-7-0,21,8,Beginner,B,False
2020-07,572880305069752365,Rodman#8630,0-0-0-0,0,28,Beginner,,True
2020-07,580933385090891797,MODS addict#4319,7-5-7-0,19,18,Beginner,H,True
2020-07,614212686095319050,9271kain#8189,7-7-7-2,23,5,Beginner,S,False
2020-07,634165531305312277,rolavo de carvalho#1779,2-1-7-2,12,23,Beginner,H,True
2020-07,657587750265946129,BB.03#9463,2-0-7-0,9,26,Beginner,H,True
2020-07,665198650909130762,vk_233#6007,2-7-7-0,16,19,Beginner,H,False
2020-07,690246804146487325,MeGustaElArroz23#1573,7-7-0-0,14,22,Beginner,H,False
2020-07,692071401724837968,Anas11400 (Alvin)#3724,2-7-7-0,16,19,Beginner,H,False
2020-07,704666113094713355,krdsss#0312,7-7-7-7,28,1,Beginner,G,False
2020-07,731821648885317643,Maria Olimpiec#8580,7-7-7-7,28,1,Beginner,G,False
2020-06,239451568196419584,dTea#3689,0-0-0-0,0,13,Advanced,,True
2020-06,243816776918499329,Zeus#1570,7-0-6-1,14,3,Advanced,S,False
2020-06,255154801862508545,Makorn#1037,7-0-0-0,7,10,Advanced,B,False
2020-06,328955683510681601,lorodane#6964,2-7-0-0,9,9,Advanced,B,False
2020-06,338147067912388608,Dikran#9340,0-0-0-0,0,13,Advanced,,True
2020-06,340212632680136706,radiateur-man#1655,7-7-0-2,16,2,Advanced,G,False
2020-06,354581940512358402,aash12#1075,0-0-0-0,0,13,Advanced,,True
2020-06,358334606975434752,wertguk#3517,0-0-0-0,0,13,Advanced,,True
2020-06,381673088216989742,nexal#3868,0-0-0-0,0,13,Advanced,,True
2020-06,418148666218381333,manbolq#0604,0-0-0-0,0,13,Advanced,,True
2020-06,459993489548115970,SG248#7718,6-7-0-0,13,6,Advanced,B,True
2020-06,467112200599764993,Rektyu#4514,7-0-0-0,7,10,Advanced,B,False
2020-06,472091598759526410,Gonzo17#0285,7-0-7-0,14,3,Advanced,S,False
2020-06,507159438797438987,NyxTo#2622,6-7-0-1,14,3,Advanced,S,False
2020-06,540406463223431188,IliyasBN#6487,0-0-0-0,0,13,Advanced,,False
2020-06,554484175122726912,BlazingMuddy#6305,5-7-0-1,13,6,Advanced,B,False
2020-06,634165531305312277,rolavo de carvalho#1779,0-0-0-0,0,13,Advanced,,True
2020-06,637718959118090262,Joshua S#1092,2-0-0-0,2,12,Advanced,,True
2020-06,651221591077945344,Unstupid#6281,6-7-0-4,17,1,Advanced,G,False
2020-06,704666113094713355,krdsss#0312,6-7-0-0,13,6,Advanced,B,False
2020-05,149628474250887168,Snerf#8108,0-0-0-0,0,21,Intermediate,,True
2020-05,185229437787176962,flame#6784,0-5-0-1,6,16,Intermediate,,True
2020-05,226414036701544450,Golub Srecko#6698,7-6-0-2,15,3,Intermediate,S,False
2020-05,277155466432348160,Astaulphe#1780,7-7-0-0,14,5,Intermediate,S,False
2020-05,328955683510681601,lorodane#6964,7-4-0-2,13,6,Intermediate,B,True
2020-05,329054903937007617,Equitab#3786,0-0-0-0,0,21,Intermediate,,True
2020-05,340212632680136706,radiateur-man#1655,0-7-0-1,8,11,Intermediate,H,False
2020-05,350299829685190668,BlessedCorgi#2698,1-0-0-1,2,17,Intermediate,,True
2020-05,358334606975434752,wertguk#3517,1-6-0-0,7,14,Intermediate,,False
2020-05,365560579546415105,2isn'tawholenumber#9301,7-0-0-1,8,11,Intermediate,H,False
2020-05,379248217931644930,_Danie1#8550,0-7-0-0,7,14,Intermediate,H,False
2020-05,441298510349074447,magicturtle332#2296,7-0-0-2,9,8,Intermediate,B,True
2020-05,451398959206891524,Frozen Dissonance#4033,1-0-0-1,2,17,Intermediate,,True
2020-05,459993489548115970,SG248#7718,0-7-0-2,9,8,Intermediate,B,True
2020-05,507159438797438987,NyxTo#2622,7-7-1-2,17,1,Intermediate,G,False
2020-05,530153879007133710,franchester#8012,7-1-0-0,8,11,Intermediate,H,False
2020-05,532692743370178572,pianocat31#9003,7-5-0-0,12,7,Intermediate,B,False
2020-05,537945145702744074,Cyclic Circle#0894,7-0-0-2,9,8,Intermediate,B,True
2020-05,540406463223431188,IliyasBN#6487,7-3-7-0,17,1,Intermediate,G,False
2020-05,634165531305312277,rolavo de carvalho#1779,1-0-0-1,2,17,Intermediate,,True
2020-05,651221591077945344,Unstupid#6281,7-7-0-1,15,3,Intermediate,S,False
2020-05,690246804146487325,MeGustaElArroz23#1573,0-1-0-0,1,20,Intermediate,,False
2020-04,118831126239248397,Denial#4301,7-6-7-0,20,18,Beginner,H,False
2020-04,149628474250887168,Snerf#8108,7-7-7-0,21,13,Beginner,B,False
2020-04,185229437787176962,flame#6784,7-1-6-0,14,25,Beginner,H,False
2020-04,193717945359269888,Secar#8997,6-7-1-1,15,24,Beginner,H,False
2020-04,214669880069324800,InternetPerson10#9445,7-6-6-7,26,10,Beginner,B,True
2020-04,226414036701544450,Golub Srecko#6698,7-6-6-0,19,20,Beginner,H,False
2020-04,226715564050087936,Pappa#6890,7-6-6-7,26,10,Beginner,B,False
2020-04,255154801862508545,Makorn#1037,7-6-6-2,21,13,Beginner,B,False
2020-04,268110085757075456,snowanchor22#3486,7-0-6-7,20,18,Beginner,H,False
2020-04,277155466432348160,Astaulphe#1780,7-6-7-7,27,3,Beginner,S,False
2020-04,290534911276744704,a fluffy fruit#7626,2-1-3-0,6,30,Beginner,,True
2020-04,292911857704894464,Enda#2138,7-2-3-1,13,26,Beginner,H,True
2020-04,305859725554089985,Jatmoz#9730,2-0-7-0,9,27,Beginner,H,False
